sid,day,month,year,streams
5aAx2yezTd8zXrkmtKl66Z,1,1,2017,3135625
7BKLCZ1jbUBVqRi2FVlTVw,1,1,2017,3015525
4pdPtRcBmOSQDlJ3Fk945m,1,1,2017,2545384
5knuzwU65gJK7IF5yJsuaW,1,1,2017,2356604
1xznGGDReH1oQq0xzbwXa3,1,1,2017,2259887
343YBumqHu19cGoGARUTsd,1,1,2017,2137437
6b8Be6ljOzmkOmFslEb23P,1,1,2017,2111599
5MFzQMkrl1FOOng9tq6R9r,1,1,2017,2107137
6fujklziTHa8uoM5OQSfIo,1,1,2017,2075732
5GXAXm5YOmYT0kL5jHvYBt,1,1,2017,1949575
6mICuAdrwEjh6Y6lroV2Kg,1,1,2017,1893214
3NdDpSvN911VPGivFlV5d0,1,1,2017,1857252
5uCax9HTNlzGybIStD3vDh,1,1,2017,1812335
4Km5HrUvYTaSUfiSGPJeQR,1,1,2017,1801707
6DNtNfH8hXkqOX1sjqmI7p,1,1,2017,1731191
04DwTuZ2VBdJCCC5TROn7L,1,1,2017,1647944
4pLwZjInHj3SimIyN9SnOz,1,1,2017,1527676
78rIJddV4X0HkNAInEcYde,1,1,2017,1507320
6JV2JOEocMgcZxYSZelKcc,1,1,2017,1480601
0QsvXIfqM0zZoerQfsI9lm,1,1,2017,1438471
4Hf7WnR761jpxPr5D46Bcd,1,1,2017,1409430
3EmmCZoqpWOTY1g2GBwJoR,1,1,2017,1375005
1vvNmPOiUuyCbgWmtc6yfm,1,1,2017,1341827
1qOLh0tI7trd1zdDKxYZTe,1,1,2017,1338596
1PSBzsahR2AKwLJgx8ehBj,1,1,2017,1257334
6i0V12jOa3mr6uu4WYhUBr,1,1,2017,1255839
27SdWb2rFzO6GWiYDBTD9j,1,1,2017,1238279
2rizacJSyD9S1IQUxUxnsK,1,1,2017,1238138
4TZy1wLyHec06pwgFYDh1a,1,1,2017,1215550
3AEZUABDXNtecAOSC1qTfo,1,1,2017,1164530
7yyRTcZmCiyzzJlNzGC9Ol,1,1,2017,1149938
17Fd6Yb7mSbinKG8LoWfFl,1,1,2017,1112074
6rQSrBHf7HlZjtcMZ4S4bO,1,1,2017,1112032
0azC730Exh71aQlOt9Zj3y,1,1,2017,1094062
4tCtwWceOPWzenK2HAIJSb,1,1,2017,1059658
0prNGof3XqfTvNDxHonvdK,1,1,2017,1031598
7DM4BPaS7uofFul3ywMe46,1,1,2017,1016899
4b4KcovePX8Ke2cLIQTLM0,1,1,2017,1003894
1D3ODoXHBLpdxolZRHWV1j,1,1,2017,971615
68EMU2RD1ECNeOeJ5qAXCV,1,1,2017,971342
7FB8l7UA1HKqnuSLjP9qDc,1,1,2017,963128
08WPvDEsHvTFuB9w8tC2OS,1,1,2017,959972
6nxQdXa1uAL0rY72wPZu89,1,1,2017,950832
7aV2mflaASUmGhCErm7kBO,1,1,2017,949200
0JiVRyTJcJnmlwCZ854K4p,1,1,2017,936813
14WWzenpaEgQZlqPq2nk4v,1,1,2017,899368
3QwBODjSEzelZyVjxPOHdq,1,1,2017,893174
4Q4jmPHwu0wrJvqrld0FQ6,1,1,2017,892922
1a5Yu5L18qNxVhXx38njON,1,1,2017,873494
1cG0umU5TKStygKsPFZ9pY,1,1,2017,868259
0SGkqnVQo9KPytSri1H6cF,1,1,2017,859929
3hB5DgAiMAQ4DzYbsMq1IT,1,1,2017,858762
2aFiaMXmWsM3Vj72F9ksBl,1,1,2017,830889
4F7A0DXBrmUAkp32uenhZt,1,1,2017,829599
69bp2EbF7Q2rqc5N3ylezZ,1,1,2017,827170
2Z8WuEywRWYTKe1NybPQEW,1,1,2017,825398
0sXvAOmXgjR2QUqLK1MltU,1,1,2017,810362
5bZtRlMBU76vHuDOb1GM5u,1,1,2017,806283
5OOkp4U9P9oL23maHFHL1h,1,1,2017,788804
11KJSRSgaDxqydKYiD2Jew,1,1,2017,786785
5hYTyyh2odQKphUbMqc5gN,1,1,2017,778773
3AsAuGTaDQzavZZThyYlop,1,1,2017,770804
7yHEDfrJNd0zWOfXwydNH0,1,1,2017,762502
3CRDbSIZ4r5MsZ0YwxuEkn,1,1,2017,758614
6I6NX6tjGsxFAsIfGzY9lJ,1,1,2017,748367
58IL315gMSTD37DOZPJ2hf,1,1,2017,735912
7gHs73wELdeycvS48JfIos,1,1,2017,713049
7xHWNBFm6ObGEQPaUxHuKO,1,1,2017,709411
6F609ICg9Spjrw1epsAnpa,1,1,2017,687222
0L7loeTIg6akW84aEQZpCT,1,1,2017,686053
5J1c3M4EldCfNxXwrwt8mT,1,1,2017,685732
6fwdbPMwP1zVStm8FybmkO,1,1,2017,673320
4BHzQ9C00ceJxfG16AlNWb,1,1,2017,672465
1lItf5ZXJc1by9SbPeljFd,1,1,2017,672103
6YZdkObH88npeKrrkb8Ggf,1,1,2017,666941
1OAiWI2oPmglaOiv9fdioU,1,1,2017,655597
7vRriwrloYVaoAe3a9wJHe,1,1,2017,653547
4dASQiO1Eoo3RJvt74FtXB,1,1,2017,650717
6HUnnBwYZqcED1eQztxMBN,1,1,2017,647007
5uDASfU19gDxSjW8cnCaBp,1,1,2017,646550
0EPxmvsG1BY5td4aTOkWBF,1,1,2017,640703
2CPqh63wRVscbceKcPxwvv,1,1,2017,621355
1Tt4sE4pXi57mTD1GCzsqm,1,1,2017,618514
58zsLZPvfflaiIbNWoA22O,1,1,2017,615851
0B8B8cVRFIG1yznoQe7c9s,1,1,2017,599513
6bLopGnirdrilrpdVB6Um1,1,1,2017,597051
7129iqBafaphfc3WPCGC0L,1,1,2017,593676
0tICYNayWWhH9GPeFrfjfD,1,1,2017,586302
4ckuS4Nj4FZ7i3Def3Br8W,1,1,2017,580939
7JYsArznYOjX2jsrT3UEnL,1,1,2017,580826
2wDjpPW3HZdA9quPPmZAMu,1,1,2017,579504
2BrzlUj1u1CtvaJDGIKpsP,1,1,2017,577810
2HzfRSfCogBSsgW2CckVA2,1,1,2017,570299
6OZh916QF8XNunWaP97WEZ,1,1,2017,567927
0v9Wz8o0BT8DU38R4ddjeH,1,1,2017,567639
4vb4mFvYsr2h6enhjJsq9Y,1,1,2017,565509
0YHUITU3w6ws1v8ehT264g,1,1,2017,561342
4gmmRb6bZJffOOiww1JGTO,1,1,2017,553704
4OZEu0Vwq0RB2LAq14v99n,1,1,2017,552314
20ZAJdsKB5IGbGj4ilRt2o,1,1,2017,549784
5aAx2yezTd8zXrkmtKl66Z,2,1,2017,3342769
7BKLCZ1jbUBVqRi2FVlTVw,2,1,2017,3019058
5knuzwU65gJK7IF5yJsuaW,2,1,2017,2726981
4pdPtRcBmOSQDlJ3Fk945m,2,1,2017,2524666
5MFzQMkrl1FOOng9tq6R9r,2,1,2017,2362830
3NdDpSvN911VPGivFlV5d0,2,1,2017,2329762
5uCax9HTNlzGybIStD3vDh,2,1,2017,2263324
343YBumqHu19cGoGARUTsd,2,1,2017,2241455
6b8Be6ljOzmkOmFslEb23P,2,1,2017,2152569
5GXAXm5YOmYT0kL5jHvYBt,2,1,2017,2135229
6fujklziTHa8uoM5OQSfIo,2,1,2017,2114909
1xznGGDReH1oQq0xzbwXa3,2,1,2017,1989817
6mICuAdrwEjh6Y6lroV2Kg,2,1,2017,1866507
6DNtNfH8hXkqOX1sjqmI7p,2,1,2017,1830616
78rIJddV4X0HkNAInEcYde,2,1,2017,1810528
04DwTuZ2VBdJCCC5TROn7L,2,1,2017,1808723
4Km5HrUvYTaSUfiSGPJeQR,2,1,2017,1676078
4pLwZjInHj3SimIyN9SnOz,2,1,2017,1645732
3EmmCZoqpWOTY1g2GBwJoR,2,1,2017,1638543
1qOLh0tI7trd1zdDKxYZTe,2,1,2017,1547351
4TZy1wLyHec06pwgFYDh1a,2,1,2017,1530922
1PSBzsahR2AKwLJgx8ehBj,2,1,2017,1478772
2rizacJSyD9S1IQUxUxnsK,2,1,2017,1438481
1vvNmPOiUuyCbgWmtc6yfm,2,1,2017,1427123
4Hf7WnR761jpxPr5D46Bcd,2,1,2017,1404053
6i0V12jOa3mr6uu4WYhUBr,2,1,2017,1403117
0QsvXIfqM0zZoerQfsI9lm,2,1,2017,1373805
6JV2JOEocMgcZxYSZelKcc,2,1,2017,1274760
0prNGof3XqfTvNDxHonvdK,2,1,2017,1264378
4b4KcovePX8Ke2cLIQTLM0,2,1,2017,1201859
6nxQdXa1uAL0rY72wPZu89,2,1,2017,1190899
08WPvDEsHvTFuB9w8tC2OS,2,1,2017,1172766
27SdWb2rFzO6GWiYDBTD9j,2,1,2017,1167833
1D3ODoXHBLpdxolZRHWV1j,2,1,2017,1154877
4Q4jmPHwu0wrJvqrld0FQ6,2,1,2017,1126983
7aV2mflaASUmGhCErm7kBO,2,1,2017,1122559
0JiVRyTJcJnmlwCZ854K4p,2,1,2017,1122212
3AEZUABDXNtecAOSC1qTfo,2,1,2017,1116627
68EMU2RD1ECNeOeJ5qAXCV,2,1,2017,1108074
1cG0umU5TKStygKsPFZ9pY,2,1,2017,1098430
17Fd6Yb7mSbinKG8LoWfFl,2,1,2017,1062554
1a5Yu5L18qNxVhXx38njON,2,1,2017,1060502
6rQSrBHf7HlZjtcMZ4S4bO,2,1,2017,1000058
7yyRTcZmCiyzzJlNzGC9Ol,2,1,2017,993906
4tCtwWceOPWzenK2HAIJSb,2,1,2017,960816
0azC730Exh71aQlOt9Zj3y,2,1,2017,958726
7FB8l7UA1HKqnuSLjP9qDc,2,1,2017,951699
5hYTyyh2odQKphUbMqc5gN,2,1,2017,908300
7DM4BPaS7uofFul3ywMe46,2,1,2017,907340
3QwBODjSEzelZyVjxPOHdq,2,1,2017,878999
3AsAuGTaDQzavZZThyYlop,2,1,2017,872522
5bZtRlMBU76vHuDOb1GM5u,2,1,2017,856922
4F7A0DXBrmUAkp32uenhZt,2,1,2017,835349
14WWzenpaEgQZlqPq2nk4v,2,1,2017,833943
2Z8WuEywRWYTKe1NybPQEW,2,1,2017,827613
7xHWNBFm6ObGEQPaUxHuKO,2,1,2017,820237
0SGkqnVQo9KPytSri1H6cF,2,1,2017,819777
6HUnnBwYZqcED1eQztxMBN,2,1,2017,798473
58zsLZPvfflaiIbNWoA22O,2,1,2017,798070
6I6NX6tjGsxFAsIfGzY9lJ,2,1,2017,784321
3hB5DgAiMAQ4DzYbsMq1IT,2,1,2017,761537
7vRriwrloYVaoAe3a9wJHe,2,1,2017,761285
3CRDbSIZ4r5MsZ0YwxuEkn,2,1,2017,756633
2BrzlUj1u1CtvaJDGIKpsP,2,1,2017,753419
11KJSRSgaDxqydKYiD2Jew,2,1,2017,752654
69bp2EbF7Q2rqc5N3ylezZ,2,1,2017,750214
